E_fst,E_fst_elstat,E_fst_VdW,E_fst_SP,group_size,type_of_complex_in_group,E_snd_SP,avg_E_fst,avg_E_snd_SP,E_third,alt_E_third,E_third_SP,avg_E_third,avg_alt_E_third,avg_E_third_SP,is_real
7136.14,4145.57,13535.19,-1984.67,18,centroid,-1420.83,6547.83,-1183.44,-5584.3,0,-1089.65,-5584.3,0,-1089.65,No
6066.18,3421.52,12321.67,-1262.26,17,border,-924.89,6817.94,-1036.46,-5524.77,-60.34,-782.5,-5524.77,-60.34,-782.5,No
6493.61,3353.58,14770.92,-1300.95,16,centroid,-872.14,6196.28,-869.61,-5523.06,-48.31,-706.48,-5523.06,-48.31,-706.48,No
6068.54,3796.43,10430.05,-1302.66,17,border,-1006.48,6432.86,-1181.62,-5373.28,0,-733.33,0,0,-934.79,Yes
6658.37,3004.72,17520.68,-1046.63,19,middle,-679.95,6448.44,-667.33,-5187.12,-54.14,-547.19,0,0,-704.55,No
6700.69,4274.93,11054.67,-1503.79,23,centroid,-1217.7,6487.61,-1042.86,-4849.44,-89.89,-845.82,0,0,-898.09,Yes
6387.6,3233.78,14981.29,-1102.91,22,border,-850.19,6574.15,-1052.9,-4628.02,0,-699.75,0,0,-952.23,No
7143.56,3832.51,15519.15,-1450.52,18,middle,-1031.38,6613.8,-796.0,-4303.19,-21.12,-833.29,-4303.19,-21.12,-833.29,No
6486.07,4283.79,9798.62,-1697.87,20,middle,-1366.78,6861.2,-1084.2,0,0,-932.73,0,0,-988.12,No
7462.2,5184.66,10206.17,-1654.17,18,border,-1308.67,6593.39,-1272.54,0,0,-1019.47,0,0,-1019.47,No
6420.57,4203.59,9989.42,-1533.67,19,centroid,-1196.74,6433.52,-1165.71,0,0,-1192.57,0,0,-1118.87,Yes
6084.18,3084.95,14287.91,-991.48,18,border,-722.47,6359.08,-952.24,0,0,-720.15,0,0,-834.51,No
6161.79,2875.25,15894.13,-754.02,14,border,-506.92,6392.12,-849.98,0,0,-524.21,0,0,-524.21,No
6361.54,4532.33,7969.29,-1647.46,17,middle,-1300.92,6267.66,-1469.41,0,0,-1262.42,0,0,-1262.42,No
7580.57,4267.84,15519.71,-1461.57,18,centroid,-1131.4,6681.25,-1183.93,0,0,-1150.26,0,0,-1115.71,No
6986.65,4151.63,13019.13,-1618.3,24,centroid,-1310.64,7383.11,-1131.95,0,0,-1303.84,0,0,-1122.57,No
6499.97,3137.13,16296.19,-725.19,16,middle,-621.99,6228.92,-644.55,0,0,-617.73,0,0,-617.73,No
6228.1,5601.16,1509.04,-2275.89,15,border,-1812.64,6426.61,-1778.17,0,0,-1776.47,0,0,-1776.47,No
6131.94,4473.54,7185.86,-1548.62,21,border,-1213.24,6857.36,-1266.96,0,0,-1201.6,0,0,-1307.89,No
6242.4,4387.68,8289.75,-1377.35,14,border,-1096.01,6351.78,-1290.38,0,0,-1081.43,0,0,-1081.43,No
3821.1,1912.36,9360.16,-256.97,22,centroid,-116.3,3966.05,-103.89,-3201.16,-137.85,-114.39,-3021.48,-91.39,-75.17,No
4170.3,623.63,17711.92,-29.97,17,border,0,4082.83,0,-3137.36,-59.52,0,-2685.73,-33.54,0,No
3942.19,1349.35,12555.59,-572.09,23,border,-348.69,4015.68,-393.43,-3114.04,-40.32,-352.25,-2863.46,-59.07,-348.35,No
4216.19,978.4,16232.06,60.33,15,centroid,0,4029.59,0,-3090.52,-136.13,0,0,0,-57.57,Yes
4799.61,1360.92,16999.69,-271.32,41,centroid,-190.22,4212.78,-131.51,-3087.95,-152.67,-196.49,-2404.67,-97.54,-160.19,Yes
3952.04,504.38,17057.81,-252.64,22,centroid,-174.49,3905.07,-224.36,-3069.16,-20.98,-167.81,-2399.9,0,-171.37,Yes
4366.1,2036.59,11197.75,-629.75,24,middle,-471.46,4006.34,-393.21,-3067.05,-65.99,-346.98,0,0,-350.01,No
4512.3,1190.22,16541.2,-96.9,42,centroid,0,4223.29,-26.18,-3033.14,0,-15.51,-2760.35,0,-11.27,No
4575.48,1200.66,16726.23,-206.99,38,border,-125.3,4718.4,-77.49,-3021.92,-154.11,-139.78,-2803.68,-111.28,-102.61,Yes
3862.28,924.45,14726.16,51.8,15,border,0,4171.46,0,-3012.44,-50.0,0,-2677.91,-23.16,0,Yes
3994.64,1214.63,13778.17,-170.64,21,middle,-98.68,3909.36,-49.98,-3009.05,-80.52,-80.12,-2805.77,-71.42,-85.97,No
3737.56,524.8,16059.29,-6.37,22,middle,0,3927.67,0,-2990.7,-113.45,0,-2659.7,-95.71,0,No
3941.05,321.64,18069.23,-38.96,23,middle,-29.38,3897.79,-70.16,-2983.68,-2.06,0,-2672.39,0,0,No
3789.35,1289.17,12043.62,-640.12,24,centroid,-435.15,3869.6,-401.78,-2979.33,-82.74,-386.79,-2889.82,-71.48,-288.65,No
4152.73,687.29,17124.09,-284.34,22,centroid,-78.31,4043.13,-91.58,-2967.49,0,-66.44,-2491.75,0,-106.65,No
4065.34,609.24,17292.59,16.93,18,middle,0,3813.78,0,-2962.52,-104.07,0,-2710.45,-72.83,0,No
4790.41,2504.37,11303.46,-177.48,16,centroid,-103.17,3952.37,-77.53,-2955.91,-141.67,-122.06,-2790.04,-61.36,-105.38,No
3921.92,1918.68,9830.95,-259.39,27,border,-134.64,4027.45,-137.19,-2955.55,-94.02,-106.4,-2690.92,-74.24,-126.15,No
3991.51,653.94,16955.26,374.4,16,middle,0,3902.46,0,-2943.68,-75.23,0,-2658.8,-29.68,0,No
4659.89,812.28,19188.27,-69.68,22,centroid,-5.74,4274.83,0,-2942.65,-32.91,-49.03,-2582.94,-33.34,0,Yes
4239.55,1456.63,13537.73,-527.62,17,centroid,-356.71,4000.62,-351.25,-2928.12,-70.62,-340.74,-2569.76,-68.05,-292.74,No
4065.55,903.92,15640.35,-234.95,27,border,-149.52,3927.64,-144.28,-2922.87,0,-70.48,-2653.03,0,-71.59,No
3829.32,961.17,14517.56,247.51,15,middle,0,4087.03,0,-2915.84,-63.43,0,-2507.68,-25.7,0,Yes
4521.01,1632.45,14350.21,-129.63,15,centroid,-165.83,4506.36,-130.11,-2911.73,-50.42,-110.47,-2844.72,-42.66,-102.29,No
4454.55,951.56,17460.78,-75.85,55,border,-10.85,4138.14,-43.8,-2887.77,-6.43,-37.0,-2507.5,0,-72.8,Yes
4816.71,2293.69,12315.96,-418.85,16,centroid,-228.7,4057.45,-189.23,-2885.59,-125.2,-194.6,-2805.52,-126.26,-210.5,No
3970.37,1196.73,13637.77,-322.61,17,centroid,-210.68,3945.53,-251.42,-2868.47,-20.49,-218.5,-2744.22,-66.06,-200.04,No
5268.46,1736.39,17427.06,-326.63,32,middle,-113.26,4382.76,-49.85,-2863.48,-79.46,-159.83,-2347.02,-35.73,-116.16,Yes
4030.84,1437.32,12931.19,-50.97,24,border,0,3972.19,-4.19,-2861.87,0,-15.66,-2739.51,-40.6,-11.15,No
3766.1,842.27,14651.06,44.69,27,border,0,3974.98,0,-2857.6,-101.61,0,-2639.15,-74.41,0,No
4595.11,1828.73,13791.99,-55.91,21,centroid,0,4169.68,0,-2835.95,-115.66,0,-2646.32,-96.99,0,No
4120.69,1033.26,15285.59,-212.16,28,centroid,-60.05,4106.4,-88.2,-2831.43,-7.55,-25.09,-2663.85,-8.68,-52.81,No
3721.17,1343.56,11461.84,-596.73,16,border,-385.05,3824.99,-356.22,-2822.03,0,-356.54,-2525.4,0,-331.6,No
3847.98,610.54,16102.09,-119.17,31,centroid,-5.37,3949.07,-33.32,-2819.3,-54.28,-6.53,-2732.96,-48.96,0,No
